obs_time,ra_deg,dec_deg,station,catalog
2012-12-27T00:00:00,352.175917,50.041417,500,Gaia2
2013-02-25T00:00:00,8.523792,48.344056,500,Gaia2
2013-04-26T00:00:00,104.540625,51.401194,500,Gaia2
2013-06-25T00:00:00,233.043083,19.687278,500,Gaia2
2013-08-24T00:00:00,182.386250,44.225694,500,Gaia2
2013-10-23T00:00:00,168.044917,-29.619083,500,Gaia2
2013-12-22T00:00:00,105.436292,-30.486778,500,Gaia2
2014-02-20T00:00:00,77.637083,48.259639,500,Gaia2
2014-04-21T00:00:00,157.924292,41.772722,500,Gaia2
2014-06-20T00:00:00,134.434250,43.698556,500,Gaia2
2014-08-19T00:00:00,154.707167,8.410444,500,Gaia2
2014-10-18T00:00:00,186.517125,-27.209250,500,Gaia2
2014-12-17T00:00:00,25.227875,49.334556,500,Gaia2
2015-02-15T00:00:00,330.162833,-4.977222,500,Gaia2
2015-04-16T00:00:00,283.159292,-49.675556,500,Gaia2
